id_tempat_wisata,kabupaten,nama_tempat_wisata,rating,kategori,jumlah_ulasan,latitude,longitude,google_maps_link,,,,,,,,,,,,
14de0,Kota Yogyakarta,Candi Kadisoka,5,Wisata Budaya dan Sejarah,8,-7.7552592,110.4458168,https://www.google.com/maps/search/Candi%20Kadisoka,,,,,,,,,,,,
7.00E+550,Kota Yogyakarta,Candi Kalasan,4.5,Wisata Budaya dan Sejarah,1986,-7.767284,110.4723505,https://www.google.com/maps/search/Candi%20Kalasan,,,,,,,,,,,,
d2740,Kota Yogyakarta,Candi Kedulan,4.5,Wisata Budaya dan Sejarah,427,-7.742562,110.4696979,https://www.google.com/maps/search/Candi%20Kedulan,,,,,,,,,,,,
46320,Sleman,Candi Kelir,4.7,Wisata Budaya dan Sejarah,20,-7.7520476,110.4918414,https://www.google.com/maps/search/Candi%20Kelir,,,,,,,,,,,,
4cde0,Sleman,Candi Kimpulan,4.7,Wisata Budaya dan Sejarah,250,-7.6883712,110.4153399,https://www.google.com/maps/search/Candi%20Kimpulan,,,,,,,,,,,,
45eb0,Kota Yogyakarta,Candi Lumbung,4.4,Wisata Budaya dan Sejarah,267,-7.7481336,110.492962,https://www.google.com/maps/search/Candi%20Lumbung,,,,,,,,,,,,
67370,Kota Yogyakarta,Candi Miri,4.6,Wisata Budaya dan Sejarah,56,-7.7718866,110.5076526,https://www.google.com/maps/search/Candi%20Miri,,,,,,,,,,,,
fb780,Sleman,Candi Morangan,4.3,Wisata Budaya dan Sejarah,192,-7.6848173,110.4694913,https://www.google.com/maps/search/Candi%20Morangan,,,,,,,,,,,,
10790,Kota Yogyakarta,Candi Nandi,4.8,Wisata Budaya dan Sejarah,26,-7.7519531,110.4916521,https://www.google.com/maps/search/Candi%20Nandi,,,,,,,,,,,,
4560,Sleman,Candi Palgading,4.3,Wisata Budaya dan Sejarah,122,-7.726067,110.410956,https://www.google.com/maps/search/Candi%20Palgading,,,,,,,,,,,,
cdba0,Kota Yogyakarta,Candi Patok,4.3,Wisata Budaya dan Sejarah,25,-7.7520169,110.4918043,https://www.google.com/maps/search/Candi%20Patok,,,,,,,,,,,,
75df0,Sleman,Candi Pawon,4.5,Wisata Budaya dan Sejarah,338,-7.6061348,110.2195624,https://www.google.com/maps/search/Candi%20Pawon,,,,,,,,,,,,
e1f10,Kota Yogyakarta,Candi Perwara,4.4,Wisata Budaya dan Sejarah,79,-7.7521252,110.4920457,https://www.google.com/maps/search/Candi%20Perwara,,,,,,,,,,,,
3a690,Kota Yogyakarta,Candi Plaosan,4.6,Wisata Budaya dan Sejarah,11047,-7.7407807,110.5046772,https://www.google.com/maps/search/Candi%20Plaosan,,,,,,,,,,,,
cc040,Gunungkidul,Candi Plembutan,4.2,Wisata Budaya dan Sejarah,222,-7.9581899,110.5506476,https://www.google.com/maps/search/Candi%20Plembutan,,,,,,,,,,,,
bca80,Kota Yogyakarta,Candi Prambanan,4.7,Wisata Budaya dan Sejarah,98503,-7.751834561,110.4915318,https://www.google.com/maps/search/Candi%20Prambanan,,,,,,,,,,,,
b4900,Kulon Progo,Candi Pringtali ,4.3,Wisata Budaya dan Sejarah,72,-7.7106853,110.160298,https://www.google.com/maps/search/Candi%20Pringtali%20,,,,,,,,,,,,
07da0,Kota Yogyakarta,Candi Sambisari,4.6,Wisata Budaya dan Sejarah,7766,-7.762491,110.4470374,https://www.google.com/maps/search/Candi%20Sambisari,,,,,,,,,,,,
8dd20,Kota Yogyakarta,Candi Sari,4.5,Wisata Budaya dan Sejarah,1137,-7.7615576,110.4742751,https://www.google.com/maps/search/Candi%20Sari,,,,,,,,,,,,
3a610,Kota Yogyakarta,Candi Sewu,4.6,Wisata Budaya dan Sejarah,4112,-7.7439217,110.4929095,https://www.google.com/maps/search/Candi%20Sewu,,,,,,,,,,,,
ef400,Kota Yogyakarta,Candi Siwa,4.5,Wisata Budaya dan Sejarah,122,-7.7520327,110.4912079,https://www.google.com/maps/search/Candi%20Siwa,,,,,,,,,,,,
f9520,Kota Yogyakarta,Candi Siwa TEJA,4.5,Wisata Budaya dan Sejarah,122,-7.7519089,110.4912269,https://www.google.com/maps/search/Candi%20Siwa%20TEJA,,,,,,,,,,,,
42590,Kota Yogyakarta,Candi Sojiwan,4.5,Wisata Budaya dan Sejarah,2697,-7.7603952,110.4962014,https://www.google.com/maps/search/Candi%20Sojiwan,,,,,,,,,,,,
55080,Kota Yogyakarta,Candi Wisnu,4.5,Wisata Budaya dan Sejarah,40,-7.751692,110.4912105,https://www.google.com/maps/search/Candi%20Wisnu,,,,,,,,,,,,
ff9d0,Kulon Progo,Cane Gardens Gendhu,4.4,Wisata Alam,398,-7.7435927,110.1478405,https://www.google.com/maps/search/Cane%20Gardens%20Gendhu,,,,,,,,,,,,
4.49E+02,Kulon Progo,Canting Mas Puncak Dipowono,4.4,Wisata Alam,258,-7.80032,110.128122,https://www.google.com/maps/search/Canting%20Mas%20Puncak%20Dipowono,,,,,,,,,,,,
7bae0,Kota Yogyakarta,Cemeti - Institute for Art and Society,4.6,Wisata Buatan,229,-7.8177918,110.3623492,https://www.google.com/maps/search/Cemeti%20-%20Institute%20for%20Art%20and%20Society,,,,,,,,,,,,
3.25E+02,Kota Yogyakarta,Central Museum of the Air Force Dirgantara Mandala,4.5,Wisata Budaya dan Sejarah,14886,-7.7899338,110.4156788,https://www.google.com/maps/search/Central%20Museum%20of%20the%20Air%20Force%20Dirgantara%20Mandala,,,,,,,,,,,,
906b0,Bantul,CitraGrand Mutiara Waterpark Yogyakarta,4.3,Wisata Buatan,2783,-7.8137343,110.2831838,https://www.google.com/maps/search/CitraGrand%20Mutiara%20Waterpark%20Yogyakarta,,,,,,,,,,,,
b04c0,Kulon Progo,Congot Beach,4.3,Wisata Alam,656,-7.9075425,110.0535658,https://www.google.com/maps/search/Congot%20Beach,,,,,,,,,,,,
a9510,Bantul,Curug Banyunibo,4.1,Wisata Alam,318,-7.8675423,110.2867568,https://www.google.com/maps/search/Curug%20Banyunibo,,,,,,,,,,,,
bac70,Kota Yogyakarta,Danau Lembah UGM,4.6,Wisata Alam,725,-7.7690769,110.3831276,https://www.google.com/maps/search/Danau%20Lembah%20UGM,,,,,,,,,,,,
d5e80,Kota Yogyakarta,De Mangol,4.3,Wisata Alam,1235,-7.8378573,110.4890534,https://www.google.com/maps/search/De%20Mangol,,,,,,,,,,,,
1dd00,Kota Yogyakarta,De Mata Trick Eye Museum,4.4,Wisata Buatan,7045,-7.8163156,110.3871442,https://www.google.com/maps/search/De%20Mata%20Trick%20Eye%20Museum,,,,,,,,,,,,
1ba10,Bantul,Depok Beach,4.3,Wisata Alam,11805,-8.0137087,110.2914777,https://www.google.com/maps/search/Depok%20Beach,,,,,,,,,,,,
86ee0,Sleman,Desa Ekowisata Pancoh,4.5,Wisata Buatan,508,-7.6303769,110.3974194,https://www.google.com/maps/search/Desa%20Ekowisata%20Pancoh,,,,,,,,,,,,
62c40,Sleman,"Desa Wisata ""Bedog Ilir""",5,Wisata Alam,16,-7.7795584,110.3281743,https://www.google.com/maps/search/Desa%20Wisata%20%22Bedog%20Ilir%22,,,,,,,,,,,,
56080,Bantul,Desa Wisata Bumi Mataram Pleret,5,Wisata Alam,10,-7.8693108,110.4000322,https://www.google.com/maps/search/Desa%20Wisata%20Bumi%20Mataram%20Pleret,,,,,,,,,,,,
75370,Sleman,Desa Wisata Dukuh Sempor,4.1,Wisata Buatan,269,-7.6673321,110.374761,https://www.google.com/maps/search/Desa%20Wisata%20Dukuh%20Sempor,,,,,,,,,,,,
55850,Sleman,Desa Wisata Fauna Ketingan,5,Wisata Budaya dan Sejarah,7,-7.743062,110.3292115,https://www.google.com/maps/search/Desa%20Wisata%20Fauna%20Ketingan,,,,,,,,,,,,
e9b20,Kulon Progo,Desa Wisata Gamplong,4.4,Wisata Budaya dan Sejarah,7,-7.8055232,110.2374676,https://www.google.com/maps/search/Desa%20Wisata%20Gamplong,,,,,,,,,,,,
